Category,Component,Price,Engineering Fee,#How many,Additional Costs,Final Price,Notes,Links,Total Project Cost (best case),,,Total Project Cost (worst case)
Gear Pump,Gear , $33.18 ,7.3,2,, $66.36 ,,, $368.46 ,,, $639.55 
,Gear (3D printed),,,,, $2.71 ,,,,,,
,Body, $21.33 ,2.91,1,, $21.33 ,,,,,,
,Plate, $14.28 ,1.94,1,, $14.28 ,,,,,,
,,,,,,,,,,,,
Vane Expander,Vane, $9.01 ,1.95,8,, $72.08 ,,,,,,
,Vane (3D printed),,,,, $10.84 ,,,,,,
,Body, $25.96 ,7.3,1,, $25.96 ,,,,,,
,Rotor, $43.79 ,12.14,1,, $43.79 ,,,,,,
,Plate, $13.55 ,1.94,1,, $13.55 ,,,,,,
,,,35.48,,,,,,,,,
Screws,Screws,,,50,, $16.49 ,,https://www.amazon.ca/M2x25mm-Alloy-Steel-Socket-Machine/dp/B01AXVSC46,,,,
,,,,,,,,,,,,
Fittings,Hydralics 3/16 adapter,12.05,,4,, $48.20 ,Comes with the compression screw and bite,https://www.hydraulicsdirect.com/adapters-and-fittings/tube-compression-fittings/47315,,,,
,Amazon 3/16 adapter,4.91,,4,, $19.64 ,Ignore this,https://www.titanfittings.com/3-16-jic-3-8-24-thread-x-3-16-orb-3-8-24-thread-male,,,,
,,,,,, $-   ,,,,,,
More Fittings,Best Case Other Fittings,,,,, $50.00 ,,,,,,
,Worst Case Other Fittings,,,,, $100.00 ,,,,,,
,,,,,,,,,,,,
Bearings and Seals,Best Case ,,,,, $25.00 ,,,,,,
,Worst Case,,,,, $50.00 ,,,,,,
,,,,,,,,,,,,
Motors,Best Case ,,,,, $100.00 ,,,,,,
,Worst Case,,,,, $150.00 ,,,,,,
,,,,,,,,,,,,
Pipes,3/16 OD pipe 25ft,31.79,,1,, $31.79 ,,https://partsavatar.ca/h-paulin-unspecified-tool-pack-of-25-dct3x25?l=C_No_Revenue&gQT=1,,,,
